order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
o000,1,p000,s000,2018-01-13T00:00:00,50,10
o001,1,p001,s001,2018-01-14T00:00:00,51,11
o002,1,p002,s002,2018-01-15T00:00:00,52,12
o003,1,p003,s003,2018-01-16T00:00:00,53,13
o004,1,p004,s004,2018-01-17T00:00:00,54,14
o005,1,p005,s000,2018-01-18T00:00:00,55,10
o006,1,p000,s001,2018-01-19T00:00:00,56,11
o007,1,p001,s002,2018-01-20T00:00:00,57,12
o008,1,p002,s003,2018-01-21T00:00:00,58,13
o009,1,p003,s004,2018-01-22T00:00:00,59,14
o010,1,p004,s000,2018-01-23T00:00:00,60,10
o011,1,p005,s001,2018-01-24T00:00:00,61,11
o012,1,p000,s002,2018-01-25T00:00:00,62,12
o013,1,p001,s003,2018-01-26T00:00:00,63,13
o014,1,p002,s004,2018-01-27T00:00:00,64,14
o015,1,p003,s000,2018-01-28T00:00:00,65,10
o016,1,p004,s001,2018-01-29T00:00:00,66,11
o017,1,p005,s002,2018-01-30T00:00:00,67,12
o018,1,p000,s003,2018-01-31T00:00:00,68,13
o019,1,p001,s004,2018-02-01T00:00:00,69,14
o020,1,p002,s000,2018-02-02T00:00:00,70,10
o021,1,p003,s001,2018-02-03T00:00:00,71,11
o022,1,p004,s002,2018-02-04T00:00:00,72,12
o023,1,p005,s003,2018-02-05T00:00:00,73,13
o024,1,p000,s004,2018-02-06T00:00:00,74,14
o025,1,p001,s000,2018-02-07T00:00:00,75,10
o026,1,p002,s001,2018-02-08T00:00:00,76,11
o027,1,p003,s002,2018-02-09T00:00:00,77,12
o028,1,p004,s003,2018-02-10T00:00:00,78,13
o029,1,p005,s004,2018-02-11T00:00:00,79,14
o030,1,p000,s000,2018-02-12T00:00:00,80,10
o031,1,p001,s001,2018-02-13T00:00:00,81,11
o032,1,p002,s002,2018-02-14T00:00:00,82,12
o033,1,p003,s003,2018-02-15T00:00:00,83,13
o034,1,p004,s004,2018-02-16T00:00:00,84,14
o035,1,p005,s000,2018-02-17T00:00:00,85,10
o036,1,p000,s001,2018-02-18T00:00:00,86,11
o037,1,p001,s002,2018-02-19T00:00:00,87,12
o038,1,p002,s003,2018-02-20T00:00:00,88,13
o039,1,p003,s004,2018-02-21T00:00:00,89,14
