order_id,payment_sequential,payment_type,payment_installments,payment_value
o000,1,credit_card,1,60
o001,1,boleto,2,61
o002,1,credit_card,3,62
o003,1,boleto,1,63
o004,1,credit_card,2,64
o005,1,boleto,3,65
o006,1,credit_card,1,66
o007,1,boleto,2,67
o008,1,credit_card,3,68
o009,1,boleto,1,69
o010,1,credit_card,2,70
o011,1,boleto,3,71
o012,1,credit_card,1,72
o013,1,boleto,2,73
o014,1,credit_card,3,74
o015,1,boleto,1,75
o016,1,credit_card,2,76
o017,1,boleto,3,77
o018,1,credit_card,1,78
o019,1,boleto,2,79
o020,1,credit_card,3,80
o021,1,boleto,1,81
o022,1,credit_card,2,82
o023,1,boleto,3,83
o024,1,credit_card,1,84
o025,1,boleto,2,85
o026,1,credit_card,3,86
o027,1,boleto,1,87
o028,1,credit_card,2,88
o029,1,boleto,3,89
o030,1,credit_card,1,90
o031,1,boleto,2,91
o032,1,credit_card,3,92
o033,1,boleto,1,93
o034,1,credit_card,2,94
o035,1,boleto,3,95
o036,1,credit_card,1,96
o037,1,boleto,2,97
o038,1,credit_card,3,98
o039,1,boleto,1,99
