order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
o000,c000,delivered,2018-01-01T10:00:00,2018-01-01T11:00:00,2018-01-01T18:00:00,2018-01-19T15:00:00,2018-01-13T00:00:00
o001,c001,delivered,2018-01-02T10:00:00,2018-01-02T11:00:00,2018-01-02T18:00:00,2018-01-07T15:00:00,2018-01-14T00:00:00
o002,c002,delivered,2018-01-03T10:00:00,2018-01-03T11:00:00,2018-01-03T18:00:00,2018-01-08T15:00:00,2018-01-15T00:00:00
o003,c003,delivered,2018-01-04T10:00:00,2018-01-04T11:00:00,2018-01-04T18:00:00,2018-01-22T15:00:00,2018-01-16T00:00:00
o004,c004,delivered,2018-01-05T10:00:00,2018-01-05T11:00:00,2018-01-05T18:00:00,2018-01-10T15:00:00,2018-01-17T00:00:00
o005,c005,delivered,2018-01-06T10:00:00,2018-01-06T11:00:00,2018-01-06T18:00:00,2018-01-11T15:00:00,2018-01-18T00:00:00
o006,c006,delivered,2018-01-07T10:00:00,2018-01-07T11:00:00,2018-01-07T18:00:00,2018-01-25T15:00:00,2018-01-19T00:00:00
o007,c007,delivered,2018-01-08T10:00:00,2018-01-08T11:00:00,2018-01-08T18:00:00,2018-01-13T15:00:00,2018-01-20T00:00:00
o008,c000,delivered,2018-01-09T10:00:00,2018-01-09T11:00:00,2018-01-09T18:00:00,2018-01-14T15:00:00,2018-01-21T00:00:00
o009,c001,delivered,2018-01-10T10:00:00,2018-01-10T11:00:00,2018-01-10T18:00:00,2018-01-28T15:00:00,2018-01-22T00:00:00
o010,c002,delivered,2018-01-11T10:00:00,2018-01-11T11:00:00,2018-01-11T18:00:00,2018-01-16T15:00:00,2018-01-23T00:00:00
o011,c003,delivered,2018-01-12T10:00:00,2018-01-12T11:00:00,2018-01-12T18:00:00,2018-01-17T15:00:00,2018-01-24T00:00:00
o012,c004,delivered,2018-01-13T10:00:00,2018-01-13T11:00:00,2018-01-13T18:00:00,2018-01-31T15:00:00,2018-01-25T00:00:00
o013,c005,delivered,2018-01-14T10:00:00,2018-01-14T11:00:00,2018-01-14T18:00:00,2018-01-19T15:00:00,2018-01-26T00:00:00
o014,c006,delivered,2018-01-15T10:00:00,2018-01-15T11:00:00,2018-01-15T18:00:00,2018-01-20T15:00:00,2018-01-27T00:00:00
o015,c007,delivered,2018-01-16T10:00:00,2018-01-16T11:00:00,2018-01-16T18:00:00,2018-02-03T15:00:00,2018-01-28T00:00:00
o016,c000,delivered,2018-01-17T10:00:00,2018-01-17T11:00:00,2018-01-17T18:00:00,2018-01-22T15:00:00,2018-01-29T00:00:00
o017,c001,delivered,2018-01-18T10:00:00,2018-01-18T11:00:00,2018-01-18T18:00:00,2018-01-23T15:00:00,2018-01-30T00:00:00
o018,c002,delivered,2018-01-19T10:00:00,2018-01-19T11:00:00,2018-01-19T18:00:00,2018-02-06T15:00:00,2018-01-31T00:00:00
o019,c003,delivered,2018-01-20T10:00:00,2018-01-20T11:00:00,2018-01-20T18:00:00,2018-01-25T15:00:00,2018-02-01T00:00:00
o020,c004,delivered,2018-01-21T10:00:00,2018-01-21T11:00:00,2018-01-21T18:00:00,2018-01-26T15:00:00,2018-02-02T00:00:00
o021,c005,delivered,2018-01-22T10:00:00,2018-01-22T11:00:00,2018-01-22T18:00:00,2018-02-09T15:00:00,2018-02-03T00:00:00
o022,c006,delivered,2018-01-23T10:00:00,2018-01-23T11:00:00,2018-01-23T18:00:00,2018-01-28T15:00:00,2018-02-04T00:00:00
o023,c007,delivered,2018-01-24T10:00:00,2018-01-24T11:00:00,2018-01-24T18:00:00,2018-01-29T15:00:00,2018-02-05T00:00:00
o024,c000,delivered,2018-01-25T10:00:00,2018-01-25T11:00:00,2018-01-25T18:00:00,2018-02-12T15:00:00,2018-02-06T00:00:00
o025,c001,delivered,2018-01-26T10:00:00,2018-01-26T11:00:00,2018-01-26T18:00:00,2018-01-31T15:00:00,2018-02-07T00:00:00
o026,c002,delivered,2018-01-27T10:00:00,2018-01-27T11:00:00,2018-01-27T18:00:00,2018-02-01T15:00:00,2018-02-08T00:00:00
o027,c003,delivered,2018-01-28T10:00:00,2018-01-28T11:00:00,2018-01-28T18:00:00,2018-02-15T15:00:00,2018-02-09T00:00:00
o028,c004,delivered,2018-01-29T10:00:00,2018-01-29T11:00:00,2018-01-29T18:00:00,2018-02-03T15:00:00,2018-02-10T00:00:00
o029,c005,delivered,2018-01-30T10:00:00,2018-01-30T11:00:00,2018-01-30T18:00:00,2018-02-04T15:00:00,2018-02-11T00:00:00
o030,c006,delivered,2018-01-31T10:00:00,2018-01-31T11:00:00,2018-01-31T18:00:00,2018-02-18T15:00:00,2018-02-12T00:00:00
o031,c007,delivered,2018-02-01T10:00:00,2018-02-01T11:00:00,2018-02-01T18:00:00,2018-02-06T15:00:00,2018-02-13T00:00:00
o032,c000,delivered,2018-02-02T10:00:00,2018-02-02T11:00:00,2018-02-02T18:00:00,2018-02-07T15:00:00,2018-02-14T00:00:00
o033,c001,delivered,2018-02-03T10:00:00,2018-02-03T11:00:00,2018-02-03T18:00:00,2018-02-21T15:00:00,2018-02-15T00:00:00
o034,c002,delivered,2018-02-04T10:00:00,2018-02-04T11:00:00,2018-02-04T18:00:00,2018-02-09T15:00:00,2018-02-16T00:00:00
o035,c003,delivered,2018-02-05T10:00:00,2018-02-05T11:00:00,2018-02-05T18:00:00,2018-02-10T15:00:00,2018-02-17T00:00:00
o036,c004,delivered,2018-02-06T10:00:00,2018-02-06T11:00:00,2018-02-06T18:00:00,2018-02-24T15:00:00,2018-02-18T00:00:00
o037,c005,delivered,2018-02-07T10:00:00,2018-02-07T11:00:00,2018-02-07T18:00:00,2018-02-12T15:00:00,2018-02-19T00:00:00
o038,c006,delivered,2018-02-08T10:00:00,2018-02-08T11:00:00,2018-02-08T18:00:00,2018-02-13T15:00:00,2018-02-20T00:00:00
